#233b5d
#54324c
#743e56
#246153
#784e2a
#774f8d
#b04c34
#806751
#816282
#b34ac0
#7c778c
#6d7e85
#b87692
#ba7f31
#29b789
#8ea7d2
#abac2a
#94b5d6
#ccb6c2
#dfdcdd
