#9cb587
#deb878
#d1a66b
#d88a37
#a77f65
#ae878a
#ad546a
#a63743
#d9343f
#c04028
#97573b
#69321e
#57433a
#705847
#7a6a51
#2f4830
#30453e
#6c6d67
#8d95a6
#b2b7c2
