#2f2b1d
#423c3c
#3f3f4d
#34394d
#244259
#3f4c4d
#29534c
#426d80
#7198a8
#a1bdc9
#29b9d3
#22b6a6
#6da67e
#86ba9c
#97ce81
#ccc48b
#c4b073
#698244
#6e6a4c
#ad4d32
