#2f343d
#2e456f
#67434d
#995653
#3a6ba5
#696e5d
#a66449
#6c918f
#8c8e6a
#b58b3f
#a2ac77
#c9a0c3
#c5a7b5
#ccba48
#bababa
#cab8b8
#cbc4c4
#44e3a6
#bcdc2e
#d6d6d6
