#201b40
#3c2c3e
#3d2f38
#4d3e2a
#66472e
#952322
#704441
#3a6ba5
#9c607d
#41858d
#7281ac
#a87972
#db5395
#cb815a
#b59167
#42bcad
#79ba98
#c7adb3
#bdcca7
#d8cba2
