#7f755b
#ac985b
#b1ab91
#c5b898
#cdc08c
#a0d127
#92d8bc
#748b85
#889aa7
#9a66d9
#6c43cc
#2d4b56
#205e60
#3f3b2f
#4d223e
#553260
#9e266a
#b32e73
#cf3638
#db3834
