#282828
#858585
#dca2a0
#be957e
#ded6ca
#cdcac0
#c0b330
#8ecb7d
#c5d2c5
#adccb5
#7a9994
#6b979b
#468da0
#566b73
#36374d
#372b3c
#cd4fbc
#c489a2
#aa2c52
#342b2c
