#b21d1a
#56463d
#262c28
#41415e
#4e5778
#8c4e63
#996272
#976d96
#bc95a2
#a8a8a8
#a5c6b7
#2b9e81
#25915c
#8a9974
#acb369
#d6de26
#cb9830
#90823b
#857e66
#9c836a
