#bababa
#d6d6d6
#cbc4c4
#cab8b8
#995653
#a66449
#b58b3f
#ccba48
#8c8e6a
#bcdc2e
#a2ac77
#696e5d
#44e3a6
#6c918f
#3a6ba5
#2f343d
#2e456f
#c9a0c3
#c5a7b5
#67434d
