#261f1c
#402d37
#593d24
#7336d6
#b22e40
#b22d4f
#a66387
#808080
#509993
#8f8ea3
#d98298
#9da0c5
#b0a596
#dbb0c3
#5ed1af
#c3c2b4
#dbc23a
#b0cdd1
#98d998
#ddcace
