#33302c
#49386f
#385354
#4f4e4f
#614d1e
#7d3b5f
#3b5950
#3b5955
#3b5958
#3f5b5e
#475989
#766642
#6b7d38
#807e7d
#c55b83
#83897f
#5b9657
#e16482
#d1a3ab
#b3c390
