#852b23
#dbbaa2
#454235
#b3b0a2
#9e9340
#a4a16a
#d7d6b7
#a5a242
#a3a349
#a3a33c
#aeb745
#7e9153
#73796b
#81dbcf
#6cd7e2
#272d2e
#54b2d1
#4098c7
#573d4a
#59434b
