#d2a69d
#c4a69b
#d3bc9d
#997748
#ba9545
#ac9f7f
#bea35e
#857d67
#413e2d
#747541
#aabf33
#cde08b
#a0d936
#75d17a
#92ded2
#3dccb9
#66aba6
#3a6ba5
#3a3549
#997fbc
