#ccb7a5
#d7a165
#bc9763
#dbd0b2
#aeb46c
#23361d
#91d9a7
#41d9a0
#67c9ac
#92ded2
#64b4a9
#86c9c0
#39c4b6
#789fab
#8e7bdb
#8763d3
#8d6ece
#997fbc
#76667d
#67386a
