#4d223e
#3f3b2f
#553260
#2d4b56
#205e60
#9e266a
#6c43cc
#b32e73
#cf3638
#7f755b
#db3834
#9a66d9
#748b85
#889aa7
#ac985b
#b1ab91
#c5b898
#cdc08c
#a0d127
#92d8bc
