#2e3147
#8a4f80
#de2a54
#9f5350
#9f7986
#b991b3
#c4b0af
#a399a1
#608597
#27b3a5
#2fe0cc
#90cdbe
#87c9b5
#75c2a0
#70ad8f
#aab24a
#a87c28
#654b24
#694b2f
#6b2629
