#8e8e8e
#995653
#d2772e
#3f3b37
#cda874
#d0c228
#d0cc75
#a7a97a
#8c8e6a
#a4c421
#6b6f5e
#517d3c
#27ce9c
#6c918f
#317484
#375160
#2e344a
#75346b
#8f6e89
#df818f
