#323f50
#4a473e
#3e4d48
#713942
#4c4c4e
#675948
#4e5d7a
#386c30
#2854e2
#d03c56
#817c2b
#2684bc
#638cc0
#908f9f
#60a852
#96a363
#c59b9c
#d9b778
#e5c6b2
#d9d998
