#b35050
#b35e50
#b36750
#3b2a24
#b57551
#694b2f
#b58551
#332a1d
#b9bb91
#252b1c
#9edbaf
#547869
#72ccaa
#2b3d3c
#40b3ad
#242440
#6859c9
#6b646b
#b991b3
#8a4f80
