#273036
#33302d
#80201c
#665426
#5a8057
#b35984
#7773bd
#857785
#3f8c66
#418d89
#c48757
#729e9a
#97c04f
#5cccaa
#9fc1d1
#dec199
#d2c954
#bac8ce
#b3d5d6
#cad0d2
