#a6244d
#6f627a
#452b46
#412d45
#47362c
#37464d
#396371
#3d76d0
#408ddd
#4394e5
#aeb5bf
#d5c9d6
#b3a4a1
#998b79
#a7aa7f
#bbd8b9
#c8cc95
#d1bc7b
#bd9c73
#b86a3c
