#2b2d2c
#a3353f
#6a5e86
#b43d3f
#9165a7
#55805d
#d9531a
#468da0
#bf69ad
#6b979b
#6899aa
#cd78cd
#a69989
#a9a789
#2fbac8
#86c3ab
#bdc489
#c4c3a9
#cdcac0
#b7dae3
