#1f1f1f
#dbdbdb
#383030
#695656
#382828
#cc5959
#c73831
#a8341d
#69483d
#dabeb2
#d5b6a2
#c6a788
#566549
#88c95c
#6cc97d
#9bc1a8
#73bca5
#93d9cf
#3a565e
#4c728f
