#49678d
#56574b
#5e2f37
#7e3c3d
#964b5a
#ad4d32
#a35c40
#ab856e
#c0997c
#d3a188
#a6958b
#a7a7a7
#bebebe
#ded8da
#d4d4d4
#c1c6c4
#cbd7bf
#cbe3ac
#9ac427
#619c8a
