#7a2f7a
#614944
#747541
#8b7d50
#c452c2
#af8a31
#a09655
#ba9545
#aea190
#b4a181
#b1af7c
#d998d9
#b5b25b
#c7b188
#dbbaab
#dec885
#b8d4be
#cdd4b8
#c9de85
#d9d9cd
