#412d45
#452b46
#47362c
#37464d
#a6244d
#396371
#6f627a
#3d76d0
#b86a3c
#408ddd
#998b79
#4394e5
#bd9c73
#a7aa7f
#b3a4a1
#aeb5bf
#d1bc7b
#c8cc95
#d5c9d6
#bbd8b9
