#1f273d
#232938
#5c2f36
#4f4936
#943270
#5e5e36
#c84e41
#a86457
#36877f
#7d7d7d
#87914d
#9e7bcf
#4d9894
#6f9d81
#cdaaa6
#75c98e
#a3c0a2
#d5be7b
#a6d6d1
#c7d49f
