#d16b67
#504645
#b59588
#6b4c3e
#9b8a82
#c6ac9f
#dd8742
#8f735a
#c0b693
#d9d596
#abad8b
#60635d
#8fdd42
#8fbb9b
#5e8c72
#78bd9a
#9daba9
#aa66cc
#a6808e
#945a65
