#cb7261
#d18049
#a1784a
#816b4e
#98876f
#be8228
#88724a
#816f4e
#d5a51f
#807344
#7f7745
#cfc376
#c4bc86
#b1bd97
#89bd7e
#1d3e3c
#399199
#2a3644
#4b5567
#d642af
