#e4a4a2
#af8a82
#bfbeb7
#6f7d3a
#5e6d55
#9ac48d
#67c2c4
#49929c
#385f6b
#3f718c
#262e3e
#a887a4
#221b21
#7a5f76
#433641
#a17b90
#d6638a
#8f7f80
#8f6a6c
#cf9d9e
