#232533
#4b1b2d
#272b4d
#40423c
#673347
#694b2f
#9c2552
#913b5b
#8a4f80
#376f48
#a27485
#2c9173
#c28076
#b88d72
#b991b3
#d98a68
#db9e4f
#c3af7c
#a5b8b8
#4ecc78
