#d9531a
#a69989
#cdcac0
#a9a789
#c4c3a9
#bdc489
#55805d
#2b2d2c
#86c3ab
#6b979b
#2fbac8
#b7dae3
#468da0
#6899aa
#6a5e86
#9165a7
#cd78cd
#bf69ad
#a3353f
#b43d3f
