#202e31
#3b3030
#442f34
#443764
#5a3d68
#6e3443
#91445a
#c4395c
#786660
#687a77
#659691
#5bb2a6
#73d0d1
#bae0ca
#94c08f
#dbbb87
#b3a47f
#999999
#5ba2d0
#2573c5
