#83695a
#b3a469
#b3ac75
#d6dd5f
#a4b034
#38745a
#68d8a9
#469172
#75a191
#75bfa5
#babebd
#91bdbf
#b4b7d8
#6b27d9
#522766
#d4a4d8
#baa1b4
#4c2636
#be94a0
#8e223c
