#2b2333
#2d2949
#332d2a
#462929
#6b364d
#3f4c38
#4e4952
#5e5e5e
#3c686e
#5c706e
#37787d
#827085
#dc5b3e
#83927b
#8f995a
#d1912a
#92b291
#71ba9f
#a5b3a6
#d6cea8
