#202e31
#3b3030
#442f34
#443764
#6e3443
#5a3d68
#91445a
#786660
#c4395c
#2573c5
#687a77
#659691
#999999
#5ba2d0
#5bb2a6
#b3a47f
#94c08f
#dbbb87
#73d0d1
#bae0ca
