#2a3932
#5d283e
#48443b
#584e63
#804262
#246282
#745749
#8e5a4f
#ad4d32
#217689
#a95679
#ac5f4f
#ce3f84
#2a88aa
#23a098
#2ba5ad
#82b329
#d1b6b2
#bcd45f
#d9d8b2
