#d13232
#c0322e
#d6642e
#906a43
#d4be7b
#9c956e
#504d3c
#afbf75
#d7e5cc
#8ed955
#4f705d
#375144
#557a8b
#a5afb5
#9a628f
#54374d
#49373f
#bb6d7d
#b66878
#641e2b
