#1c2f3e
#7d2437
#49435d
#3d582b
#586e58
#c13c2b
#678126
#c46825
#a37c94
#db5a98
#c38a83
#33a7c4
#df8c94
#9cb0ba
#b4b3ae
#c0bb92
#bcc5d1
#cccca3
#bad487
#cad9b2
