#2b2b2b
#2a221f
#4a3c4c
#704b53
#804041
#d24655
#d547c3
#cc98bd
#d47e87
#d27355
#ae9873
#b5b18a
#d2cd55
#ced34d
#8eab85
#78ab90
#d6d5d1
#86a7d3
#61a0c7
#3a6ba5
