#402c2b
#27364f
#594150
#9e3520
#52602b
#a42b67
#566755
#c2294c
#787887
#7a7a6e
#8e923e
#72a36c
#41b985
#9eac9f
#c4a9a9
#86c07f
#93c088
#e3be36
#61d8ba
#d1c4b2
