#c04028
#69321e
#97573b
#57433a
#a77f65
#705847
#d88a37
#d1a66b
#7a6a51
#deb878
#6c6d67
#9cb587
#2f4830
#30453e
#8d95a6
#b2b7c2
#ad546a
#a63743
#ae878a
#d9343f
