#27382f
#1e3b57
#323b4c
#554f46
#993034
#755725
#aa3b33
#a54842
#ad4c43
#c44865
#6666e2
#ba5969
#9e5fb3
#d04956
#6b7c7d
#d4815d
#41b08c
#c8963f
#b5a77f
#73d0d1
