#32326d
#252933
#211d1d
#443936
#472b2a
#9c3433
#e02690
#bf69ad
#ad8885
#b9a8a1
#c3ced4
#c1cbd0
#b8b291
#83d586
#6ac9ca
#2fbac8
#6b9a9b
#749096
#447e8c
#6b6b6b
