#32352b
#333866
#7a2767
#4c4c4e
#3e5559
#864c48
#b32d53
#3a6ba5
#d43535
#6f7951
#be5c46
#41947f
#b373b3
#8f92b3
#96a363
#59bfb3
#e499b8
#d1ab7b
#e0c240
#ccca52
