#513b3d
#652f8c
#494881
#78674d
#c43b2b
#9e7560
#b3752a
#468da0
#8d8793
#d66f1a
#6b979b
#7e9491
#ad8b8f
#c29184
#c59a70
#a1a493
#c2ac87
#dca2a0
#c4b884
#cdcac0
