#52654f
#373c26
#2f2a26
#312725
#594a45
#522d2d
#a84c4c
#ad4d32
#a26f66
#a3796a
#dc7434
#d8a467
#b5a788
#dfd8c0
#b1baab
#8fb3ab
#2dc2b3
#7fd4ca
#8ac6d0
#4b84a1
