#6b4242
#7d524f
#cfbd88
#d9d0b4
#bfb899
#bdc489
#afc1bd
#99d2c7
#34a997
#646d73
#1a2737
#303b4b
#322f38
#c7b5c3
#d980a8
#b37490
#855067
#c46f85
#622434
#de5f72
