#23361d
#67386a
#76667d
#997fbc
#8e7bdb
#8d6ece
#8763d3
#789fab
#64b4a9
#39c4b6
#86c9c0
#92ded2
#67c9ac
#41d9a0
#91d9a7
#aeb46c
#dbd0b2
#ccb7a5
#d7a165
#bc9763
