#b85a5a
#c0322e
#c9766e
#c96653
#d9aca3
#d2866f
#db9f83
#b2926b
#beae8c
#dec385
#b8a986
#c5a443
#b09635
#719199
#82b5c2
#b1babd
#1c1f45
#7c4c8c
#bca4bd
#9d4251
