#b52834
#c94b34
#d1823d
#c8a065
#d6b37d
#b8bf71
#bad487
#b7e539
#97d622
#989b62
#61824d
#586e58
#28483b
#282f27
#5b4537
#513c41
#4b4c53
#6d6e78
#8d8594
#c0b4cc
