#d9c3d3
#c291ae
#af636c
#87636d
#856387
#6e6387
#747685
#64656d
#6e6e6e
#5d868a
#206a8a
#1f214e
#2b2b2b
#784e2a
#876e63
#a38678
#877e63
#a79a2a
#cdc75c
#d2d083
