#9c3433
#d1642e
#694b2f
#d0c57c
#929476
#ccd18c
#616621
#979b84
#a5c42a
#a1b552
#a1bf8a
#69b585
#c3dad2
#447e8c
#2e324a
#6865d0
#b991b3
#8a4f80
#de9bc0
#c26598
