#5e2834
#364737
#7a4c56
#387568
#8f663a
#b0592e
#48806a
#a67171
#75846a
#c47070
#d9814a
#ce926c
#d9964a
#51b4ca
#36c2bc
#3ccd3b
#99c421
#dfb053
#8ace81
#accc80
