#e08072
#47362c
#4d3e32
#c9a66c
#806f4d
#ccb78c
#d1bc7b
#a7aa7f
#bdc489
#acb28e
#57af9c
#72c9da
#28879b
#409bb6
#5955a1
#3a3566
#231a34
#452b46
#b82886
#5a2e41
