#ac302e
#8a3d33
#c2695d
#cc7468
#412921
#4d3c32
#795f4f
#7c573d
#574b40
#bc8e5c
#d7c8b5
#88aa7e
#245fb1
#374760
#727b8c
#222734
#4e3475
#bbadc7
#693991
#a4285e
