#65711d
#818a48
#a49e60
#d5b832
#daca48
#cac190
#d3d0b4
#b5c2a1
#4fb087
#2d8c7b
#647a6d
#4e6680
#4c3c3e
#382529
#452222
#492b4a
#66254c
#7f6280
#82657a
#cd5032
