#3c2d44
#3b344a
#3a4161
#36406e
#3a495f
#6b3f54
#315557
#624d69
#944642
#816361
#e36a63
#919191
#d98778
#4ca6d7
#3fb54f
#c29996
#49b881
#baadb4
#afcaa1
#d9e3d6
