#261f70
#692870
#a13a60
#b33e6d
#d33146
#71544e
#66452b
#8f6a46
#a66f42
#8c8075
#8f856c
#ae9f88
#e0e38c
#c7ca59
#99954d
#7e8a28
#668078
#3d665c
#4c5434
#515149
