#303640
#25413a
#5e4543
#af3421
#4d7478
#cd5032
#3e9091
#978791
#b77ad2
#a09489
#9a9a9a
#d2896e
#30acb8
#4fb087
#68b15b
#c2b3db
#abc3ce
#c6c2c4
#baced6
#d3dfe2
