#26211d
#592551
#55342b
#613f2f
#804242
#b33e50
#c74a86
#b373b3
#d86f71
#bf756b
#a87660
#bd903d
#d8b790
#bdc498
#c9d8c4
#8de0ce
#59bfb3
#4db8a1
#93a168
#648551
