#c38a83
#c13c2b
#c46825
#b4b3ae
#c0bb92
#cccca3
#678126
#bad487
#cad9b2
#3d582b
#586e58
#33a7c4
#9cb0ba
#1c2f3e
#bcc5d1
#49435d
#a37c94
#db5a98
#7d2437
#df8c94
