#6b6b6b
#211d1d
#9c3433
#472b2a
#ad8885
#443936
#b9a8a1
#b8b291
#83d586
#6ac9ca
#6b9a9b
#2fbac8
#749096
#447e8c
#c1cbd0
#c3ced4
#252933
#32326d
#bf69ad
#e02690
