#2a221f
#2b2b2b
#4a3c4c
#804041
#704b53
#3a6ba5
#d24655
#d547c3
#d27355
#d47e87
#61a0c7
#ae9873
#78ab90
#8eab85
#86a7d3
#cc98bd
#b5b18a
#d2cd55
#ced34d
#d6d5d1
